#bfield(Gauss)	ainns(a0)
0.	-599.4963165467626
1.	-599.4515990396159
2.	-599.4054230769231
3.	-599.3577833935018
4.	-599.3086746987951
5.	-599.258091676719
6.	-599.2060289855073
7.	-599.1524812575574
8.	-599.0974430992736
9.	-599.040909090909
10.	-598.9828737864078
11.	-598.9233317132442
12.	-598.8622773722627
13.	-598.7997052375152
14.	-598.7356097560975
15.	-598.6699853479853
16.	-598.602826405868
17.	-598.5341272949817
18.	-598.4638823529411
19.	-598.3920858895704
20.	-598.3187321867322
21.	-598.2438154981551
22.	-598.1673300492611
23.	-598.0892700369913
24.	-598.0096296296296
25.	-597.9284029666255
26.	-597.8455841584158
27.	-597.7611672862453
28.	-597.6751464019851
29.	-597.5875155279502
30.	-597.4982686567164
31.	-597.407399750934
32.	-597.3149027431422
33.	-597.2207715355805
34.	-597.125
35.	-597.0275819774718
36.	-596.9285112781954
37.	-596.827781681305
38.	-596.7253869346733
39.	-596.6213207547171
40.	-596.5155768261965
41.	-596.4081488020176
42.	-596.2990303030302
43.	-596.1882149178256
44.	-596.0756962025316
45.	-595.9614676806085
46.	-595.8455228426396
47.	-595.7278551461245
48.	-595.6084580152672
49.	-595.4873248407644
50.	-595.3644489795918
51.	-595.2398237547892
52.	-595.113442455243
53.	-594.9852983354674
54.	-594.8553846153845
55.	-594.7236944801026
56.	-594.5902210796914
57.	-594.4549575289576
58.	-594.3178969072166
59.	-594.1790322580645
60.	-594.0383565891473
61.	-593.8958628719274
62.	-593.7515440414508
63.	-593.605392996109
64.	-593.4574025974025
65.	-593.3075656697008
66.	-593.1558749999999
67.	-593.0023233376794
68.	-592.8469033942558
69.	-592.6896078431373
70.	-592.5304293193717
71.	-592.369360419397
72.	-592.2063937007874
73.	-592.0415216819974
74.	-591.8747368421052
75.	-591.7060316205534
76.	-591.5353984168866
77.	-591.3628295904889
78.	-591.1883174603175
79.	-591.0118543046357
80.	-590.8334323607427
81.	-590.6530438247012
82.	-590.4706808510639
83.	-590.2863355525965
84.	-590.1
85.	-589.9116662216288
86.	-589.7213262032085
87.	-589.5289718875503
88.	-589.3345951742627
89.	-589.1381879194631
90.	-588.9397419354838
91.	-588.7392489905787
92.	-588.5367008086254
93.	-588.3320890688259
94.	-588.1254054054053
95.	-587.9166414073071
96.	-587.7057886178861
97.	-587.4928385345999
98.	-587.2777826086957
99.	-587.0606122448979
100.	-586.8413188010899
101.	-586.6198935879945
102.	-586.3963278688525
103.	-586.1706128590971
104.	-585.9427397260273
105.	-585.7126995884774
106.	-585.4804835164834
107.	-585.2460825309491
108.	-585.0094876033058
109.	-584.7706896551725
110.	-584.529679558011
111.	-584.2864481327799
112.	-584.0409861495845
113.	-583.7932843273231
114.	-583.5433333333333
115.	-583.2911237830319
116.	-583.0366462395543
117.	-582.7798912133892
118.	-582.5208491620112
119.	-582.2595104895105
120.	-581.9958655462184
121.	-581.729904628331
122.	-581.461617977528
123.	-581.1909957805908
124.	-580.918028169014
125.	-580.6427052186177
126.	-580.3650169491525
127.	-580.0849533239038
128.	-579.8025042492918
129.	-579.5176595744681
130.	-579.230409090909
131.	-578.9407425320057
132.	-578.6486495726496
133.	-578.3541198288161
134.	-578.0571428571428
135.	-577.7577081545064
136.	-577.4558051575931
137.	-577.1514232424678
138.	-576.844551724138
139.	-576.5351798561152
140.	-576.2232968299711
141.	-575.9088917748918
142.	-575.5919537572255
143.	-575.272471780029
144.	-574.9504347826087
145.	-574.625831640058
146.	-574.2986511627906
147.	-573.9688820960699
148.	-573.6365131195336
149.	-573.3015328467154
150.	-572.9639298245613
151.	-572.6236925329429
152.	-572.2808093841642
153.	-571.9352687224671
154.	-571.5870588235293
155.	-571.2361678939617
156.	-570.8825840707964
157.	-570.5262954209749
158.	-570.1672899408284
159.	-569.8055555555555
160.	-569.4410801186943
161.	-569.07385141159
162.	-568.7038571428571
163.	-568.331084947839
164.	-567.9555223880596
165.	-567.5771569506727
166.	-567.1959760479041
167.	-566.8119670164917
168.	-566.4251171171171
169.	-566.0354135338346
170.	-565.6428433734939
171.	-565.2473936651585
172.	-564.8490513595166
173.	-564.4478033282905
174.	-564.0436363636363
175.	-563.6365371775418
176.	-563.2264924012158
177.	-562.813488584475
178.	-562.397512195122
179.	-561.9785496183206
