#bfield(Gauss)	a12	a13	a23(a0)
0	-0.7	-820.4	24.6
1	-0.7	-820.4	24.6
2	-0.7	-693.3	24.0
3	-0.8	-623.9	23.4
4	-0.8	-578.2	22.8
5	-0.9	-545.3	22.2
6	-1.1	-520.4	21.6
7	-1.2	-500.7	20.9
8	-1.4	-484.9	20.3
9	-1.6	-472.0	19.6
10	-1.8	-461.3	18.9
11	-2.0	-452.3	18.2
12	-2.3	-444.8	17.4
13	-2.6	-438.4	16.7
14	-2.9	-433.0	15.9
15	-3.2	-428.4	15.1
16	-3.6	-424.6	14.3
17	-3.9	-421.3	13.4
18	-4.3	-418.6	12.6
19	-4.7	-416.4	11.7
20	-5.2	-414.6	10.8
21	-5.6	-413.2	9.9
22	-6.1	-412.1	9.0
23	-6.6	-411.3	8.0
24	-7.1	-410.7	7.0
25	-7.7	-410.4	6.0
26	-8.3	-410.4	5.0
27	-8.8	-410.5	3.9
28	-9.5	-410.8	2.9
29	-10.1	-411.3	1.8
30	-10.7	-412.0	0.7
31	-11.4	-412.8	-0.4
32	-12.1	-413.8	-1.6
33	-12.8	-414.8	-2.7
34	-13.6	-416.0	-3.9
35	-14.3	-417.3	-5.1
36	-15.1	-418.7	-6.4
37	-15.9	-420.2	-7.6
38	-16.7	-421.8	-8.9
39	-17.5	-423.4	-10.2
40	-18.4	-425.2	-11.6
41	-19.3	-427.0	-12.9
42	-20.2	-428.9	-14.3
43	-21.1	-430.8	-15.7
44	-22.0	-432.8	-17.1
45	-22.9	-434.9	-18.5
46	-23.9	-437.0	-20.0
47	-24.9	-439.1	-21.5
48	-25.9	-441.4	-23.0
49	-26.9	-443.6	-24.5
50	-27.9	-445.9	-26.0
51	-29.0	-448.2	-27.6
52	-30.0	-450.6	-29.2
53	-31.1	-453.0	-30.8
54	-32.2	-455.4	-32.4
55	-33.3	-457.9	-34.0
56	-34.4	-460.4	-35.7
57	-35.5	-462.9	-37.4
58	-36.7	-465.4	-39.1
59	-37.9	-468.0	-40.8
60	-39.0	-470.6	-42.5
61	-40.2	-473.2	-44.3
62	-41.4	-475.8	-46.0
63	-42.6	-478.4	-47.8
64	-43.9	-481.1	-49.6
65	-45.1	-483.8	-51.4
66	-46.3	-486.4	-53.3
67	-47.6	-489.1	-55.1
68	-48.9	-491.8	-57.0
69	-50.1	-494.6	-58.8
70	-51.4	-497.3	-60.7
71	-52.7	-500.0	-62.6
72	-54.0	-502.8	-64.5
73	-55.3	-505.5	-66.5
74	-56.7	-508.3	-68.4
75	-58.0	-511.1	-70.4
76	-59.3	-513.8	-72.3
77	-60.7	-516.6	-74.3
78	-62.0	-519.4	-76.3
79	-63.4	-522.2	-78.3
80	-64.8	-524.9	-80.3
81	-66.2	-527.7	-82.4
82	-67.5	-530.5	-84.4
83	-68.9	-533.3	-86.4
84	-70.3	-536.1	-88.5
85	-71.7	-538.9	-90.6
86	-73.1	-541.6	-92.6
87	-74.5	-544.4	-94.7
88	-75.9	-547.2	-96.8
89	-77.4	-550.0	-98.9
90	-78.8	-552.8	-101.0
91	-80.2	-555.5	-103.1
92	-81.6	-558.3	-105.2
93	-83.1	-561.1	-107.3
