#bfield(Gauss)	a12	a13	a23(a0)
318	-290.3	-890.5	-462.6
319	-290.3	-890.5	-463.1
320	-290.3	-890.5	-463.7
321	-290.3	-890.5	-464.2
322	-290.3	-890.5	-464.7
323	-290.3	-890.4	-465.1
324	-290.3	-890.3	-465.6
325	-290.2	-890.3	-466.1
326	-290.2	-890.2	-466.5
327	-290.1	-890.1	-467.0
328	-290.1	-890.0	-467.4
329	-290.0	-889.8	-467.8
330	-289.9	-889.7	-468.2
331	-289.8	-889.5	-468.6
332	-289.7	-889.3	-469.0
333	-289.6	-889.2	-469.3
334	-289.5	-889.0	-469.7
335	-289.3	-888.7	-470.0
336	-289.2	-888.5	-470.4
337	-289.0	-888.3	-470.7
338	-288.9	-888.0	-471.0
339	-288.7	-887.7	-471.3
340	-288.5	-887.4	-471.6
341	-288.3	-887.1	-471.9
342	-288.1	-886.8	-472.2
343	-287.9	-886.5	-472.4
344	-287.6	-886.1	-472.6
345	-287.4	-885.7	-472.9
346	-287.1	-885.4	-473.1
347	-286.9	-885.0	-473.3
348	-286.6	-884.6	-473.5
349	-286.3	-884.1	-473.7
350	-286.0	-883.7	-473.9
351	-285.7	-883.2	-474.0
352	-285.4	-882.8	-474.2
353	-285.1	-882.3	-474.3
354	-284.7	-881.8	-474.4
355	-284.4	-881.2	-474.5
356	-284.0	-880.7	-474.6
357	-283.6	-880.1	-474.7
358	-283.3	-879.6	-474.8
359	-282.9	-879.0	-474.9
360	-282.5	-878.4	-474.9
361	-282.0	-877.8	-475.0
362	-281.6	-877.1	-475.0
363	-281.2	-876.5	-475.0
364	-280.7	-875.8	-475.0
365	-280.2	-875.1	-475.0
366	-279.8	-874.4	-475.0
367	-279.3	-873.7	-475.0
368	-278.8	-873.0	-474.9
369	-278.3	-872.2	-474.9
370	-277.8	-871.5	-474.8
371	-277.2	-870.7	-474.7
372	-276.7	-869.9	-474.6
373	-276.1	-869.1	-474.5
374	-275.5	-868.2	-474.4
375	-275.0	-867.4	-474.3
376	-274.4	-866.5	-474.1
377	-273.8	-865.6	-473.9
378	-273.1	-864.7	-473.8
379	-272.5	-863.8	-473.6
380	-271.9	-862.9	-473.4
381	-271.2	-861.9	-473.2
382	-270.5	-860.9	-473.0
383	-269.9	-859.9	-472.7
384	-269.2	-858.9	-472.5
385	-268.5	-857.9	-472.2
386	-267.8	-856.8	-471.9
387	-267.0	-855.7	-471.7
388	-266.3	-854.7	-471.4
389	-265.5	-853.5	-471.0
390	-264.8	-852.4	-470.7
391	-264.0	-851.3	-470.4
