#bfield(Gauss)	arice(a0)
0.	-1068.4892086330935
1.	-1067.875150060024
2.	-1067.2596153846152
3.	-1066.6425992779784
4.	-1066.0240963855422
5.	-1065.4041013269
6.	-1064.7826086956522
7.	-1064.1596130592502
8.	-1063.5351089588376
9.	-1062.909090909091
10.	-1062.2815533980583
11.	-1061.652490886999
12.	-1061.0218978102191
13.	-1060.3897685749087
14.	-1059.7560975609756
15.	-1059.1208791208792
16.	-1058.484107579462
17.	-1057.8457772337822
18.	-1057.2058823529412
19.	-1056.564417177914
20.	-1055.9213759213758
21.	-1055.2767527675278
22.	-1054.6305418719212
23.	-1053.9827373612823
24.	-1053.3333333333335
25.	-1052.682323856613
26.	-1052.029702970297
27.	-1051.375464684015
28.	-1050.7196029776676
29.	-1050.0621118012423
30.	-1049.402985074627
31.	-1048.7422166874221
32.	-1048.079800498753
33.	-1047.4157303370787
34.	-1046.75
35.	-1046.0826032540676
36.	-1045.4135338345864
37.	-1044.7427854454204
38.	-1044.070351758794
39.	-1043.3962264150944
40.	-1042.72040302267
41.	-1042.0428751576292
42.	-1041.3636363636363
43.	-1040.6826801517066
44.	-1040.
45.	-1039.315589353612
46.	-1038.6294416243654
47.	-1037.9415501905971
48.	-1037.2519083969466
49.	-1036.5605095541403
50.	-1035.8673469387757
51.	-1035.1724137931035
52.	-1034.4757033248081
53.	-1033.7772087067863
54.	-1033.076923076923
55.	-1032.374839537869
56.	-1031.6709511568124
57.	-1030.965250965251
58.	-1030.2577319587629
59.	-1029.5483870967741
60.	-1028.8372093023256
61.	-1028.124191461837
62.	-1027.4093264248704
63.	-1026.692607003891
64.	-1025.974025974026
65.	-1025.2535760728217
66.	-1024.53125
67.	-1023.80704041721
68.	-1023.0809399477807
69.	-1022.3529411764706
70.	-1021.6230366492146
71.	-1020.8912188728702
72.	-1020.1574803149606
73.	-1019.4218134034166
74.	-1018.6842105263158
75.	-1017.9446640316206
76.	-1017.2031662269129
77.	-1016.4597093791281
78.	-1015.7142857142858
79.	-1014.9668874172185
80.	-1014.2175066312999
81.	-1013.4661354581675
82.	-1012.7127659574468
83.	-1011.9573901464713
84.	-1011.2
85.	-1010.4405874499332
86.	-1009.6791443850267
87.	-1008.9156626506024
88.	-1008.1501340482573
89.	-1007.3825503355706
90.	-1006.6129032258065
91.	-1005.8411843876178
92.	-1005.0673854447439
93.	-1004.2914979757085
94.	-1003.5135135135134
95.	-1002.7334235453314
96.	-1001.9512195121952
97.	-1001.1668928086839
98.	-1000.3804347826086
99.	-999.591836734694
100.	-998.8010899182561
101.	-998.0081855388813
102.	-997.2131147540982
103.	-996.4158686730506
104.	-995.6164383561645
105.	-994.8148148148149
106.	-994.010989010989
107.	-993.2049518569463
108.	-992.3966942148761
109.	-991.5862068965517
110.	-990.7734806629834
111.	-989.9585062240664
112.	-989.1412742382272
113.	-988.3217753120665
114.	-987.5
115.	-986.6759388038943
116.	-985.849582172702
117.	-985.020920502092
118.	-984.1899441340781
119.	-983.3566433566434
120.	-982.5210084033614
121.	-981.6830294530155
122.	-980.8426966292135
123.	-980.
124.	-979.1549295774649
125.	-978.3074753173482
126.	-977.457627118644
127.	-976.6053748231965
128.	-975.7507082152974
129.	-974.8936170212764
130.	-974.0340909090909
131.	-973.1721194879088
132.	-972.3076923076924
133.	-971.4407988587732
134.	-970.5714285714287
135.	-969.6995708154506
136.	-968.8252148997135
137.	-967.948350071736
138.	-967.0689655172413
139.	-966.1870503597122
140.	-965.3025936599424
141.	-964.4155844155844
142.	-963.5260115606936
143.	-962.6338639652678
144.	-961.7391304347826
145.	-960.8417997097242
146.	-959.9418604651162
147.	-959.0393013100436
148.	-958.1341107871721
149.	-957.2262773722629
150.	-956.3157894736842
151.	-955.402635431918
152.	-954.4868035190616
153.	-953.568281938326
154.	-952.6470588235295
155.	-951.7231222385863
156.	-950.7964601769912
157.	-949.8670605612998
158.	-948.9349112426037
159.	-948.0000000000001
160.	-947.0623145400594
161.	-946.1218424962855
162.	-945.1785714285716
163.	-944.2324888226527
164.	-943.2835820895522
165.	-942.3318385650223
166.	-941.377245508982
167.	-940.4197901049474
168.	-939.4594594594594
169.	-938.4962406015036
170.	-937.5301204819278
171.	-936.5610859728507
172.	-935.5891238670694
173.	-934.6142208774584
174.	-933.6363636363635
175.	-932.6555386949924
176.	-931.6717325227964
177.	-930.6849315068494
178.	-929.6951219512194
179.	-928.7022900763359
180.	-927.7064220183487
181.	-926.7075038284838
182.	-925.7055214723925
183.	-924.7004608294931
184.	-923.6923076923076
185.	-922.6810477657934
186.	-921.6666666666667
187.	-920.6491499227202
188.	-919.6284829721361
189.	-918.6046511627908
190.	-917.5776397515529
191.	-916.547433903577
192.	-915.5140186915888
193.	-914.4773790951639
194.	-913.4375
195.	-912.3943661971831
196.	-911.3479623824452
197.	-910.298273155416
198.	-909.2452830188679
199.	-908.1889763779527
200.	-907.1293375394322
201.	-906.0663507109006
202.	-904.9999999999999
203.	-903.930269413629
204.	-902.8571428571428
205.	-901.7806041335452
206.	-900.7006369426751
207.	-899.6172248803828
208.	-898.5303514376998
209.	-897.44
210.	-896.3461538461538
211.	-895.2487961476726
212.	-894.1479099678456
213.	-893.0434782608696
214.	-891.9354838709677
215.	-890.8239095315024
216.	-889.7087378640776
217.	-888.5899513776337
218.	-887.4675324675325
219.	-886.3414634146342
220.	-885.2117263843649
221.	-884.078303425775
222.	-882.9411764705883
223.	-881.8003273322421
224.	-880.655737704918
225.	-879.5073891625617
226.	-878.3552631578948
227.	-877.1993410214169
228.	-876.0396039603961
229.	-874.8760330578511
230.	-873.7086092715233
231.	-872.5373134328358
232.	-871.3621262458473
233.	-870.1830282861896
234.	-869.0000000000001
235.	-867.8130217028381
236.	-866.6220735785954
237.	-865.427135678392
238.	-864.2281879194632
239.	-863.0252100840336
240.	-861.8181818181818
241.	-860.6070826306914
242.	-859.3918918918918
243.	-858.1725888324872
244.	-856.9491525423729
245.	-855.7215619694398
246.	-854.4897959183675
247.	-853.2538330494037
248.	-852.0136518771332
249.	-850.7692307692307
250.	-849.5205479452055
251.	-848.2675814751287
252.	-847.0103092783505
253.	-845.7487091222031
254.	-844.4827586206898
255.	-843.2124352331606
256.	-841.9377162629756
257.	-840.6585788561524
258.	-839.375
259.	-838.0869565217392
260.	-836.7944250871079
261.	-835.497382198953
262.	-834.1958041958042
263.	-832.8896672504379
264.	-831.578947368421
265.	-830.2636203866434
266.	-828.9436619718309
267.	-827.6190476190477
268.	-826.2897526501766
269.	-824.9557522123895
270.	-823.6170212765958
271.	-822.2735346358793
272.	-820.9252669039148
273.	-819.5721925133691
274.	-818.2142857142857
275.	-816.8515205724507
276.	-815.483870967742
277.	-814.1113105924595
278.	-812.7338129496402
279.	-811.3513513513514
280.	-809.9638989169674
281.	-808.5714285714284
282.	-807.1739130434784
283.	-805.7713248638838
284.	-804.3636363636363
285.	-802.9508196721312
286.	-801.5328467153284
287.	-800.1096892138938
288.	-798.6813186813187
289.	-797.2477064220183
290.	-795.8088235294117
291.	-794.3646408839778
292.	-792.9151291512917
293.	-791.460258780037
294.	-790.
295.	-788.5343228200371
296.	-787.0631970260224
297.	-785.586592178771
298.	-784.1044776119404
299.	-782.6168224299065
300.	-781.1235955056179
301.	-779.624765478424
302.	-778.1203007518798
303.	-776.6101694915254
304.	-775.0943396226415
305.	-773.5727788279773
306.	-772.0454545454546
307.	-770.5123339658444
308.	-768.9733840304183
309.	-767.4285714285716
310.	-765.8778625954199
311.	-764.3212237093691
312.	-762.7586206896553
313.	-761.190019193858
314.	-759.6153846153845
315.	-758.0346820809249
316.	-756.4478764478765
317.	-754.8549323017409
318.	-753.2558139534883
319.	-751.6504854368932
320.	-750.0389105058365
321.	-748.421052631579
322.	-746.796875
323.	-745.1663405088063
324.	-743.5294117647059
325.	-741.8860510805501
326.	-740.236220472441
327.	-738.5798816568047
328.	-736.916996047431
329.	-735.2475247524752
330.	-733.5714285714286
331.	-731.8886679920478
332.	-730.1992031872511
333.	-728.5029940119762
334.	-726.8
335.	-725.0901803607214
336.	-723.3734939759037
337.	-721.6498993963783
338.	-719.9193548387098
339.	-718.1818181818182
340.	-716.4372469635626
341.	-714.685598377282
342.	-712.9268292682926
343.	-711.1608961303463
344.	-709.3877551020407
345.	-707.6073619631901
346.	-705.8196721311475
347.	-704.0246406570842
348.	-702.2222222222222
349.	-700.4123711340205
350.	-698.595041322314
351.	-696.7701863354037
352.	-694.9377593360996
353.	-693.097713097713
354.	-691.25
355.	-689.3945720250523
356.	-687.5313807531381
357.	-685.6603773584906
358.	-683.781512605042
359.	-681.8947368421053
360.	-680.0000000000001
361.	-678.0972515856237
362.	-676.1864406779661
363.	-674.2675159235669
364.	-672.3404255319148
365.	-670.405117270789
366.	-668.4615384615383
367.	-666.509635974304
368.	-664.5493562231759
369.	-662.5806451612902
370.	-660.6034482758621
371.	-658.6177105831533
372.	-656.6233766233767
373.	-654.6203904555314
374.	-652.6086956521739
375.	-650.5882352941176
376.	-648.5589519650656
377.	-646.5207877461708
378.	-644.4736842105264
379.	-642.4175824175824
380.	-640.3524229074889
381.	-638.2781456953642
382.	-636.1946902654867
383.	-634.1019955654102
384.	-632.
385.	-629.8886414253898
386.	-627.7678571428572
387.	-625.6375838926174
388.	-623.4977578475336
389.	-621.3483146067415
390.	-619.1891891891892
391.	-617.0203160270881
392.	-614.8416289592759
393.	-612.6530612244898
394.	-610.4545454545454
395.	-608.246013667426
396.	-606.0273972602739
397.	-603.7986270022883
398.	-601.5596330275229
399.	-599.3103448275862
400.	-597.0506912442397
401.	-594.7806004618938
402.	-592.5
403.	-590.2088167053365
404.	-587.9069767441861
405.	-585.5944055944055
406.	-583.2710280373833
407.	-580.9367681498828
408.	-578.5915492957746
409.	-576.2352941176471
410.	-573.8679245283018
411.	-571.4893617021276
412.	-569.0995260663507
413.	-566.6983372921615
414.	-564.2857142857142
415.	-561.8615751789976
416.	-559.4258373205743
417.	-556.9784172661871
418.	-554.5192307692307
419.	-552.0481927710841
420.	-549.5652173913044
421.	-547.0702179176754
422.	-544.5631067961166
423.	-542.043795620438
424.	-539.5121951219512
425.	-536.9682151589242
426.	-534.4117647058824
427.	-531.8427518427519
428.	-529.2610837438424
429.	-526.6666666666667
430.	-524.059405940594
431.	-521.439205955335
432.	-518.8059701492539
433.	-516.1596009975062
434.	-513.4999999999999
435.	-510.827067669173
436.	-508.14070351758784
437.	-505.4408060453401
438.	-502.72727272727263
439.	-500.00000000000006
440.	-497.258883248731
441.	-494.50381679389307
442.	-491.73469387755114
443.	-488.9514066496164
444.	-486.1538461538462
445.	-483.3419023136247
446.	-480.51546391752584
447.	-477.6744186046511
448.	-474.8186528497409
449.	-471.94805194805195
450.	-469.0625
451.	-466.1618798955614
452.	-463.2460732984293
453.	-460.3149606299213
454.	-457.3684210526316
455.	-454.40633245382594
456.	-451.42857142857156
457.	-448.4350132625995
458.	-445.4255319148936
459.	-442.40000000000003
460.	-439.3582887700535
461.	-436.3002680965147
462.	-433.22580645161287
463.	-430.1347708894878
464.	-427.02702702702686
465.	-423.9024390243903
466.	-420.7608695652175
467.	-417.6021798365123
468.	-414.4262295081966
469.	-411.23287671232885
470.	-408.021978021978
471.	-404.7933884297521
472.	-401.5469613259669
473.	-398.28254847645434
474.	-395.
475.	-391.699164345404
476.	-388.3798882681564
477.	-385.0420168067227
478.	-381.68539325842704
479.	-378.3098591549296
480.	-374.9152542372882
481.	-371.5014164305948
482.	-368.06818181818176
483.	-364.6153846153845
484.	-361.1428571428571
485.	-357.65042979942695
486.	-354.1379310344828
487.	-350.60518731988475
488.	-347.05202312138726
489.	-343.4782608695652
490.	-339.88372093023264
491.	-336.26822157434395
492.	-332.6315789473684
493.	-328.97360703812325
494.	-325.2941176470589
495.	-321.59292035398227
496.	-317.8698224852071
497.	-314.12462908011867
498.	-310.357142857143
499.	-306.5671641791045
500.	-302.754491017964
501.	-298.91891891891885
502.	-295.0602409638554
503.	-291.178247734139
504.	-287.2727272727272
505.	-283.3434650455928
506.	-279.3902439024389
507.	-275.41284403669715
508.	-271.41104294478527
509.	-267.3846153846153
510.	-263.3333333333334
511.	-259.2569659442723
512.	-255.15527950310573
513.	-251.0280373831776
514.	-246.875
515.	-242.69592476489032
516.	-238.4905660377358
517.	-234.25867507886448
518.	-230.
519.	-225.71428571428578
520.	-221.40127388535026
521.	-217.0607028753994
522.	-212.69230769230782
523.	-208.29581993569136
524.	-203.8709677419355
525.	-199.41747572815524
526.	-194.9350649350649
527.	-190.42345276872956
528.	-185.88235294117652
529.	-181.31147540983608
530.	-176.7105263157896
531.	-172.07920792079204
532.	-167.41721854304635
533.	-162.72425249169436
534.	-157.99999999999997
535.	-153.2441471571907
536.	-148.45637583892614
537.	-143.63636363636368
538.	-138.78378378378378
539.	-133.89830508474574
540.	-128.97959183673467
541.	-124.02730375426613
542.	-119.04109589041109
543.	-114.02061855670098
544.	-108.96551724137936
545.	-103.87543252595157
546.	-98.75
547.	-93.58885017421596
548.	-88.39160839160839
549.	-83.15789473684201
550.	-77.88732394366187
551.	-72.57950530035335
552.	-67.23404255319159
553.	-61.850533807829336
554.	-56.4285714285714
555.	-50.96774193548383
556.	-45.46762589928047
557.	-39.92779783393488
558.	-34.3478260869565
559.	-28.727272727272737
560.	-23.065693430656907
561.	-17.3626373626373
562.	-11.617647058823488
563.	-5.830258302583122
564.	0.
565.	5.873605947955234
566.	11.79104477611926
567.	17.752808988764087
568.	23.759398496240426
569.	29.811320754716974
570.	35.90909090909088
571.	42.05323193916333
